player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
165,1903,36,1166,77,0.03,Hakeem Olajuwon,Kenny Thomas,Hakeem Olajuwon + Kenny Thomas
304,330,39,1161,96,0.03,John Stockton,Danny Manning,John Stockton + Danny Manning
15,2047,32,1131,83,0.03,Eric Piatkowski,Quentin Richardson,Eric Piatkowski + Quentin Richardson
1751,1918,39,1122,80,0.03,Jahidi White,Obinna Ekezie,Jahidi White + Obinna Ekezie
111,210,30,1090,85,0.03,LaPhonso Ellis,Terrell Brandon,LaPhonso Ellis + Terrell Brandon
1722,3,30,1076,67,0.03,Michael Dickerson,Grant Long,Michael Dickerson + Grant Long
137,248,37,1058,102,0.03,Vernon Maxwell,George Lynch,Vernon Maxwell + George Lynch
275,948,36,1051,60,0.03,Allan Houston,Marcus Camby,Allan Houston + Marcus Camby
1088,966,32,1027,80,0.03,Chucky Atkins,Jerome Williams,Chucky Atkins + Jerome Williams
165,672,26,1016,75,0.03,Hakeem Olajuwon,Matt Bullard,Hakeem Olajuwon + Matt Bullard
1541,722,27,976,75,0.03,Alvin Williams,Corliss Williamson,Alvin Williams + Corliss Williamson
109,216,26,967,66,0.03,Robert Horry,Brian Shaw,Robert Horry + Brian Shaw
136,1944,29,941,61,0.03,P.J. Brown,Eddie Robinson,P.J. Brown + Eddie Robinson
361,960,27,933,59,0.03,Clifford Robinson,Tony Delk,Clifford Robinson + Tony Delk
1902,440,31,930,70,0.03,Jeff Foster,Zan Tabak,Jeff Foster + Zan Tabak
1503,386,32,915,63,0.03,Tracy McGrady,Elliot Perry,Tracy McGrady + Elliot Perry
1721,702,29,901,98,0.03,Keon Clark,Voshon Lenard,Keon Clark + Voshon Lenard
1733,1902,28,883,66,0.03,Al Harrington,Jeff Foster,Al Harrington + Jeff Foster
243,947,26,873,81,0.03,Aaron McKie,Allen Iverson,Aaron McKie + Allen Iverson
1538,2036,26,872,76,0.03,Cedric Henderson,Chris Mihm,Cedric Henderson + Chris Mihm
2091,960,30,867,56,0.03,Daniel Santiago,Tony Delk,Daniel Santiago + Tony Delk
178,1900,26,840,55,0.03,Olden Polynice,Quincy Lewis,Olden Polynice + Quincy Lewis
469,922,24,826,47,0.03,Jamal Mashburn,Elden Campbell,Jamal Mashburn + Elden Campbell
84,948,21,815,48,0.03,Latrell Sprewell,Marcus Camby,Latrell Sprewell + Marcus Camby
146,182,27,789,65,0.03,Jud Buechler,Billy Owens,Jud Buechler + Billy Owens
136,922,25,752,41,0.03,P.J. Brown,Elden Campbell,P.J. Brown + Elden Campbell
45,702,19,749,83,0.03,George McCloud,Voshon Lenard,George McCloud + Voshon Lenard
137,238,20,744,79,0.03,Vernon Maxwell,Tyrone Hill,Vernon Maxwell + Tyrone Hill
1508,672,25,733,58,0.03,Maurice Taylor,Matt Bullard,Maurice Taylor + Matt Bullard
1714,2036,19,725,65,0.03,Robert Traylor,Chris Mihm,Robert Traylor + Chris Mihm
317,330,20,683,55,0.03,John Starks,Danny Manning,John Starks + Danny Manning
1716,682,22,657,45,0.03,Larry Hughes,Bob Sura,Larry Hughes + Bob Sura
